"OBJECTID","AREA","PERIMETER","TRTPT_","TRTPT_ID","CNTYTRT","POPU","dx","dy","dwx","dwy"
1,0,0,12,13,97860806,3770,318114.8437999999,646112.25,-88.11299902864909,42.48603200171638
2,0,0,13,14,97860805,1895,314043.5937999999,646233.25,-88.16251521139773,42.48720580081044
3,0,0,14,15,97860810,4864,323391.5937999999,645560.6875,-88.04884009067825,42.48092525238239
4,0,0,15,16,111870102,5329,308525.4687999999,642115.4375,-88.22969550951726,42.45021542181233
5,0,0,16,17,111870101,5768,297557.9687999999,642822.9375,-88.36302233174803,42.456627750731215
6,0,0,17,18,111870300,8761,274134.0312999999,642677.625,-88.64779006565311,42.4548920732169
7,0,0,19,20,111870200,5972,280478.125,636324.8125,-88.57044901727623,42.39788625495867
8,0,0,20,21,97860701,1177,330240.4375,642682.875,-87.96569619228272,42.454781105291275
9,0,0,21,22,97860702,2965,335140.6562999999,642498.25,-87.90613635403395,42.45291250502765
10,0,0,22,23,97860101,6058,338176,644197.8125,-87.86912449471072,42.46806896359358
11,0,0,23,24,97860103,3587,340932.3125,646164.25,-87.83546943377308,42.485630587641985
12,0,0,24,25,97860104,3441,342199.1875,644523.375,-87.82018160482852,42.470791174225575
13,0,0,25,26,97860807,2831,312097.8437999999,641697.8125,-88.18627769940919,42.44640824027131
14,0,0,26,27,97860809,2592,317924.5312999999,643178.625,-88.11540546267132,42.45962652778122
15,0,0,27,28,97860808,3002,314853.75,641844.25,-88.15277457546733,42.44767867852414
16,0,0,28,29,97860811,2837,323011.9687999999,642877,-88.05356471987412,42.45677687312383
17,0,0,31,32,97860200,3713,342127.5312999999,642426.6875,-87.82120677341887,42.45192026549418
18,0,0,32,33,97860301,3933,339757.9062999999,642778.125,-87.84998794847944,42.45520907675156
19,0,0,33,34,97860302,3210,340587.0625,642671.5625,-87.83991560911505,42.454206826901974
20,0,0,34,35,97860400,4509,338591.5312999999,639850,-87.86436397830775,42.428908157547276
21,0,0,35,36,97860500,5314,341021.875,641173.375,-87.83473674872135,42.44069690189634
22,0,0,36,37,97861012,4463,319627.4062999999,639802.3125,-88.09481726569136,42.42919000142724
23,0,0,37,38,97861007,3341,324571.4687999999,640461,-88.03470861876576,42.4349790734024
24,0,0,39,40,97860600,6514,342009.9062999999,639615.5,-87.82284210247053,42.426619660424855
25,0,0,40,41,97861008,5675,324560.875,638826.0625,-88.03490718879156,42.42026089335621
26,0,0,41,42,97861009,3799,326343.8125,637593,-88.01330042445603,42.40910181093019
27,0,0,42,43,97861010,3676,318054,636983.625,-88.11402589856213,42.40385276435757
28,0,0,43,44,97860903,5965,313823,636852.1875,-88.16542405184879,42.40275628002597
29,0,0,44,45,111870704,4154,309905.2187999999,636956.25,-88.2130117965474,42.403752940441876
30,0,0,45,46,111870703,4582,305176.8125,636651.9375,-88.27045179231013,42.40105921545606
31,0,0,46,47,111870401,6122,293481.6562999999,633598.8125,-88.412475595737,42.373562837957415
32,0,0,47,48,111870500,7717,300083.5937999999,633126.0625,-88.3323184499229,42.36933411962867
33,0,0,48,49,97861604,4872,329419.3125,636610.5625,-87.97598915008675,42.40014705113032
34,0,0,50,51,97861011,7014,320925.4375,636538.75,-88.07916214899052,42.39977571596327
35,0,0,51,52,97861013,2384,323069.3437999999,637347.625,-88.05308903666203,42.40699695964147
36,0,0,52,53,97860904,4342,312168.6875,632531.4375,-88.18561028853193,42.363885723080294
37,0,0,53,54,97861505,3225,332441.5625,636312.875,-87.93929670459768,42.39734683321718
38,0,0,54,55,97861506,4464,334149.7187999999,636796.75,-87.91852118782384,42.40162969563274
39,0,0,55,56,97861701,1884,342058.0312999999,636748.75,-87.8224668205214,42.400809769118304
40,0,0,56,57,97861803,5945,339348.5,636965.375,-87.8553627466976,42.402901835981496
41,0,0,57,58,97861901,3624,337748.875,636973.125,-87.8747924435374,42.40305096828864
42,0,0,58,59,97861507,2926,336129.1875,635783.25,-87.89454107751597,42.392416243005414
43,0,0,61,62,97861014,3461,324384.25,635876.5,-88.03717816494463,42.393712939343324
44,0,0,63,64,97860905,5456,315794.4687999999,634564.6875,-88.14153926710627,42.382125207799994
45,0,0,64,65,97861702,4037,340913.9375,635460.5,-87.83645477063494,42.38927360305875
46,0,0,65,66,111870702,6973,309049.2812999999,631711.3125,-88.22349142502433,42.35654491457024
47,0,0,66,67,97861805,2541,339734.2187999999,634942.8125,-87.85081703464857,42.38467439068397
48,0,0,67,68,97861902,5849,337745.9687999999,634557.875,-87.8749859762857,42.3813081022052
49,0,0,68,69,97861804,4029,338946.625,634966,-87.86037936912598,42.384922986269856
50,0,0,69,70,111870603,4571,303271.8437999999,632739.125,-88.29361320873524,42.365843757449134
51,0,0,70,71,111870604,4923,305503.6875,632963.5,-88.26651654021651,42.36785115195045
52,0,0,72,73,97861508,3621,333819.1562999999,634356.25,-87.92267962827202,42.379673691386124
53,0,0,73,74,97861605,12155,328831.125,633272.25,-87.98330048098532,42.37011588890358
54,0,0,74,75,97861301,4154,318695.5937999999,634554.125,-88.1063111600395,42.38196577262871
55,0,0,75,76,97861201,7019,320743.2187999999,633654.625,-88.08147925992027,42.373815995927096
56,0,0,76,77,97861603,5335,331704.9687999999,630643.5625,-87.94855485840695,42.34633924306728
57,0,0,77,78,97861202,3339,322854.9687999999,634237.5,-88.05581659383809,42.37900419271809
58,0,0,78,79,97861106,7593,325803.8437999999,631917.375,-88.02011411832702,42.35802483119363
59,0,0,79,80,97862100,5714,340503.5,634116.125,-87.84153360814466,42.37719255745765
60,0,0,80,81,97862200,4446,341979.5312999999,633544.9375,-87.82365366578956,42.37197225432825
61,0,0,83,84,97861509,3087,333538.9375,632559.75,-87.9261866075693,42.363512878060966
62,0,0,86,87,97861303,4837,319219.2187999999,633815.9375,-88.09997739551814,42.37530738504105
63,0,0,87,88,97861815,839,339289.5625,634005.0625,-87.85628048794068,42.376255008624696
64,0,0,88,89,97862000,6201,339518.375,633155.1875,-87.85356058105273,42.36859251129567
65,0,0,89,90,97861304,3496,319187.1875,633024.6875,-88.10039263327073,42.36818484489107
66,0,0,90,91,97862401,3982,340572.875,632845.4375,-87.84078066406339,42.36574973988826
67,0,0,92,93,97861510,4668,335580.1562999999,632275.1875,-87.90142539371688,42.360860445864695
68,0,0,93,94,97860906,1634,315525.875,630879.8125,-88.14489997989546,42.348956920069654
69,0,0,94,95,97861104,9916,323168.375,631791.1875,-88.05210935052132,42.35697174063497
70,0,0,95,96,97862603,6048,338130.5312999999,632752.5,-87.87043576710337,42.36503661649905
71,0,0,99,100,97861403,2659,319660.3125,631990.0625,-88.09468399402151,42.358858675520956
72,0,0,100,101,97862402,3856,340562.2812999999,631926.8125,-87.84097383868388,42.357480474065994
73,0,0,101,102,97861402,3897,319819.8437999999,630028.6875,-88.09281484627884,42.34119703752393
74,0,0,102,103,97861404,4704,321171.4375,631688.625,-88.07635223051402,42.35610529716834
75,0,0,103,104,97862604,4241,338079.75,631600.5,-87.87112823716315,42.35466830452741
76,0,0,104,105,97861504,6903,335810.875,630181.4375,-87.89875464240718,42.34200092522767
77,0,0,105,106,97862501,4437,339755.9375,631513.625,-87.85078964599649,42.35380240215565
78,0,0,106,107,97862300,3487,341363.0937999999,631046.875,-87.83131669638922,42.34951678322995
79,0,0,107,108,97861607,4284,327989.6875,629910.0625,-87.9936790544064,42.33987828508059
80,0,0,108,109,97862700,4962,340581.0937999999,630763.3125,-87.84082727801862,42.347005198461204
81,0,0,109,110,97861608,3903,329468.8437999999,630710.25,-87.97568902764806,42.34702745833856
82,0,0,110,111,97862502,3209,339784.4687999999,630132.75,-87.85053849068288,42.34136972418809
83,0,0,111,112,111870605,4835,302850.8437999999,629695.8125,-88.2987391681799,42.3384472814953
84,0,0,112,113,97862605,4377,338356.8437999999,630411.8125,-87.86784399344091,42.343953606891866
85,0,0,113,114,97861105,3358,323870.5937999999,629520.0625,-88.0436796117717,42.33650442250275
86,0,0,114,115,111870606,3985,305386.5312999999,629442.375,-88.26797171129029,42.336152234680966
87,0,0,115,116,111870402,4555,291662.4687999999,629248.75,-88.43450034476432,42.33438307524539
88,0,0,116,117,97862800,2057,337957.9375,629264.625,-87.87276024438566,42.333645641800096
89,0,0,117,118,97862901,4143,340891.0937999999,629460.1875,-87.83715739424933,42.335257705470035
90,0,0,121,122,97862902,2897,339896.2187999999,628935.0625,-87.84926512027184,42.3305818976156
91,0,0,123,124,97863001,18775,339610.5937999999,626784.1875,-87.85287788008873,42.31123329244377
92,0,0,124,125,97864203,3639,312617.4062999999,625338.9375,-88.18032006614834,42.299126397672055
93,0,0,125,126,97864205,5569,315889.9375,625094.1875,-88.14064047961988,42.296863150596685
94,0,0,127,128,111870811,4640,309194.6562999999,626211.4375,-88.22181434118475,42.30702920797435
95,0,0,128,129,111870904,4855,289406.875,627009.6875,-88.46182847427458,42.31419792694135
96,0,0,129,130,111870903,3604,291909.2812999999,627856.5,-88.43148605627856,42.321851585507304
97,0,0,130,131,111870809,5568,305162.2187999999,623260.9375,-88.27074872734136,42.280503513269935
98,0,0,131,132,111870902,5296,293844.3125,623103.5,-88.40796066139369,42.27907892326011
99,0,0,132,133,111871002,5560,283940.4687999999,618873.3125,-88.52791047472897,42.240854291532614
100,0,0,133,134,111871003,4204,274390.2187999999,624085.5625,-88.64385006262545,42.28752418143011
101,0,0,134,135,97863601,3504,331881.7812999999,627345.3125,-87.94659101880534,42.31663932039285
102,0,0,135,136,97864101,3678,321162.625,624434.9375,-88.07672470316803,42.290802835545314
103,0,0,136,137,97863201,3320,338010.9375,627716,-87.87221900295602,42.31970158599907
104,0,0,137,138,97863100,2660,340016.0937999999,627916.25,-87.84788122778272,42.32140393692095
105,0,0,138,139,111870803,7428,301161.2812999999,625139.375,-88.3192506688551,42.297430987858476
106,0,0,150,151,111870905,4417,291094.3125,626189.9375,-88.4413471922506,42.30683900270529
107,0,0,154,155,97863702,3670,335369.7187999999,624925.3125,-87.90442955674125,42.294702636558895
108,0,0,155,156,111870810,4575,307654.4375,622224.4375,-88.24054781984562,42.27115159727761
109,0,0,156,157,97863202,6036,338514.3437999999,623897.75,-87.86636640664469,42.28530301786278
110,0,0,157,158,97863002,509,339301.9062999999,625891.875,-87.85668257517602,42.303215880249
111,0,0,162,163,97863701,4616,332460.4687999999,624864.75,-87.93971054288558,42.29428392869201
112,0,0,163,164,97863603,3781,328877.5937999999,625380,-87.98313073791633,42.29906343856226
113,0,0,164,165,97864105,4681,324491.6875,623368,-88.03640356417743,42.28110007102112
114,0,0,165,166,97863300,2857,340772.3125,623936.625,-87.83898790360911,42.285538253294725
115,0,0,166,167,97864106,4646,326530.0625,624098.5625,-88.01165783255344,42.287610461660925
116,0,0,173,174,97864001,6012,328303.7187999999,622628.9375,-87.99022450191622,42.274317552970714
117,0,0,174,175,97863604,3023,329917.3125,624133.1875,-87.9705865833873,42.28779962848408
118,0,0,181,182,97863903,4591,330265.5625,622813.9375,-87.96643305660541,42.27590943400394
119,0,0,184,185,97863801,4587,332691.875,621319.875,-87.93710450643667,42.26236104360163
120,0,0,186,187,111870812,4779,310274.75,621432.5,-88.20879902919546,42.26399180996535
121,0,0,188,189,97863802,1120,335302.3437999999,621075.1875,-87.9054810776908,42.260044547306904
122,0,0,189,190,97863500,4689,338677.8125,620599.5625,-87.86460454007113,42.255602792425734
123,0,0,194,195,97864204,3721,313196.875,620644.125,-88.17339969798846,42.256850267205785
124,0,0,197,198,111870808,3546,302558.0312999999,620282.0625,-88.30233395495063,42.25369797738117
125,0,0,200,201,97863904,3123,330455.625,621075.9375,-87.96422032609419,42.260255380776194
126,0,0,204,205,97864107,5172,324375.5625,620406.5,-88.03793591425158,42.254442067587924
127,0,0,205,206,97864108,5778,326596.125,620747.1875,-88.01101060776517,42.257436727468836
128,0,0,207,208,97864002,6288,328034.25,620069.5,-87.99361477305465,42.25128538568323
129,0,0,208,209,97863400,4536,341485.0625,620403.1875,-87.83059929791764,42.253690842777154
130,0,0,214,215,111870807,4568,299510.875,620171.0625,-88.33926067778394,42.25270269241787
131,0,0,217,218,97864206,3525,316379.6562999999,620029.625,-88.13484495116639,42.251257752685866
132,0,0,223,224,97863902,4551,330792.5,619529,-87.96021968047573,42.246315554467415
133,0,0,225,226,111871004,5039,274456.3437999999,614851.125,-88.64264193577465,42.20439082121738
134,0,0,227,228,111871305,4821,309030.6562999999,617600.0625,-88.2239375690457,42.22950419690796
135,0,0,228,229,111871304,3287,305690.7812999999,617796.0625,-88.26439426398188,42.23130021992169
136,0,0,229,230,97864303,4141,312782.4375,616976,-88.17850302554903,42.22383347624202
137,0,0,230,231,111871101,1214,290507.5625,614193,-88.44826739420891,42.19882516403876
138,0,0,231,232,97864305,4059,316114.8437999999,617117.75,-88.13813473584399,42.225048050034054
139,0,0,232,233,97864407,4860,320070.9375,617390.0625,-88.09020566715222,42.22740808422713
140,0,0,233,234,97864502,3298,334748.2187999999,616752.875,-87.91245538570476,42.22115705963881
141,0,0,234,235,97864402,6455,324932.9375,616453,-88.03135114624031,42.218831933587566
142,0,0,235,236,97864513,5291,331299.5,617302.8125,-87.9541964586497,42.22625366206367
143,0,0,236,237,97864510,4573,328959.8125,618208.5,-87.98249185769676,42.234497520941666
144,0,0,238,239,97864602,4158,340428.8125,617480.8125,-87.84360242427053,42.227437313361925
145,0,0,239,240,97864601,3899,338286.875,616652.25,-87.86960234212194,42.22008590157361
146,0,0,240,241,97864511,5736,328049.7187999999,616548.8125,-87.99359736874077,42.21958892304691
147,0,0,241,242,97865000,1475,342108.625,618132.25,-87.82320770692246,42.23321324595217
148,0,0,242,243,111871301,4753,301830.1562999999,618101.625,-88.31116154633767,42.23406974956043
149,0,0,243,244,111871102,9519,295378.5,616540.4375,-88.3893089712492,42.220002969044344
150,0,0,244,245,111871201,7152,298936.1562999999,616848.75,-88.34621918230746,42.22279162213999
151,0,0,249,250,111871202,6049,300340.2812999999,616529.0625,-88.32921184973685,42.21991414397236
152,0,0,250,251,97865501,2581,343800.25,614808.5625,-87.80296576987531,42.20319858081532
153,0,0,251,252,111871306,7214,304002.2812999999,615564,-88.28486439585825,42.21121556820714
154,0,0,252,253,97864512,4593,329539.3437999999,615265.5625,-87.97562067977618,42.207981254160394
155,0,0,255,256,97864514,1686,331772.875,615003.8125,-87.94858815165887,42.20553725138353
156,0,0,256,257,111871307,5210,309477.0625,615684.75,-88.21856112585982,42.212255498714406
157,0,0,257,258,97864408,5203,320018.6875,614783.375,-88.09092834989201,42.20394175585672
158,0,0,258,259,97865300,4762,341678.2187999999,615515.375,-87.82860933771832,42.20967766007829
159,0,0,259,260,97865200,4009,343021.3125,615219.0625,-87.8123670093307,42.206937364665656
160,0,0,260,261,111871309,9373,302968.2812999999,611869.0625,-88.29740531764217,42.17795471984258
161,0,0,261,262,111871308,3774,306755.3437999999,614004.9375,-88.25154203964313,42.197160459416054
162,0,0,262,263,97864700,3143,340844.125,613616.875,-87.83884314651748,42.19263015063764
163,0,0,263,264,111871204,11730,299924.9375,613717.375,-88.33424212667084,42.19460069358663
164,0,0,264,265,97864306,2098,315024.3437999999,614505.75,-88.15141135841336,42.20155416990307
