"OBJECTID","AREA","PERIMETER","ZIPCENT_","ZIPCENT_ID","ZIP","PO_NAME","STATE","DOC00","sx","sy","swx","swy"
1,0,0,13,1,"60002","ANTIOCH","IL",9,320074.9687999999,644103.4375,-88.0892281503913,42.467899441459
2,0,0,14,50,"60081","SPRING GROVE","IL",0,309289.3437999999,641955.125,-88.22041225475178,42.448763426370945
3,0,0,15,44,"60071","RICHMOND","IL",6,302024.0937999999,643615.1875,-88.30872261611547,42.46376123583048
4,0,0,16,20,"60033","HARVARD","IL",9,277667.1562999999,639113.5625,-88.60469932361755,42.42291639635659
5,0,0,18,21,"60034","HEBRON","IL",0,292799.2187999999,642952.5,-88.42087842357874,42.457764559347325
6,0,0,19,64,"60099","ZION","IL",22,338235.9375,643152.3125,-87.8684653311419,42.45865414330293
7,0,0,21,61,"60096","WINTHROP HARBOR","IL",2,341515.0312999999,645385.5,-87.82843840150073,42.47858913327435
8,0,0,23,52,"60083","WADSWORTH","IL",3,331367.375,640973.5625,-87.95208946828441,42.439348454324026
9,0,0,30,13,"60020","FOX LAKE","IL",3,312079.0625,640804.6875,-88.18652476766192,42.43836811821824
10,0,0,31,30,"60046","LAKE VILLA","IL",9,322668.3437999999,637978.1875,-88.05793546169484,42.412685428569986
11,0,0,32,55,"60087","WAUKEGAN","IL",9,338783.125,637383.5,-87.86220202868437,42.4066943694085
12,0,0,33,45,"60072","RINGWOOD","IL",0,302194.8437999999,638425.9375,-88.30666630435988,42.41704405271474
13,0,0,36,62,"60097","WONDER LAKE","IL",5,298259.9375,634870.0625,-88.35446409271228,42.38503287881252
14,0,0,37,13,"60020","FOX LAKE","IL",3,313330.4375,636693.625,-88.17141090177135,42.40133740898972
15,0,0,38,33,"60050","MCHENRY","IL",68,306252.5937999999,630062.125,-88.25745597630599,42.34172521615931
16,0,0,39,63,"60098","WOODSTOCK","IL",45,289782.875,627890.75,-88.45728315146961,42.322134948088234
17,0,0,40,19,"60031","GURNEE","IL",102,332086.9375,633966.4375,-87.94373453941435,42.37623781782105
18,0,0,43,25,"60041","INGLESIDE","IL",2,314526.5,632433.5,-88.15698996560715,42.36296357330778
19,0,0,46,46,"60073","ROUND LAKE","IL",12,318642.6875,631224.125,-88.10706121292026,42.35198824577199
20,0,0,47,54,"60085","WAUKEGAN","IL",125,338800.375,631850.5625,-87.86236489683449,42.35688388093374
21,0,0,48,18,"60030","GRAYSLAKE","IL",18,323287.3125,628796.8125,-88.05078640187902,42.33001091209203
22,0,0,53,97,"60152","MARENGO","IL",4,275725.5625,618614.625,-88.62743033781385,42.23831335488821
23,0,0,55,32,"60048","LIBERTYVILLE","IL",113,331739.9062999999,624654.3125,-87.94845958378346,42.29241909628951
24,0,0,57,39,"60064","NORTH CHICAGO","IL",143,338813.6875,628005.625,-87.86246164083384,42.32226935735323
25,0,0,59,56,"60088","GREAT LAKES","IL",10,339656.6562999999,626314.5625,-87.85235137350324,42.30700315802748
26,0,0,61,53,"60084","WAUCONDA","IL",7,315955.3437999999,621875.1875,-88.1399359677535,42.267881821010874
27,0,0,62,28,"60044","LAKE BLUFF","IL",37,338441.3437999999,624113.0625,-87.8672371776534,42.28724497783579
28,0,0,64,36,"60060","MUNDELEIN","IL",20,324301.9687999999,621941.75,-88.03876342717186,42.26826584742578
29,0,0,65,7,"60012","CRYSTAL LAKE","IL",13,301957.125,622365.3125,-88.3096089778085,42.27245495393461
30,0,0,67,26,"60042","ISLAND LAKE","IL",2,310904.4687999999,622589.25,-88.20114483406854,42.27439730641037
31,0,0,68,33,"60050","MCHENRY","IL",68,312499.3125,622106.0625,-88.18182195660819,42.27002333871331
32,0,0,70,29,"60045","LAKE FOREST","IL",137,338088.3125,618642.5,-87.87187677263928,42.23801309710332
33,0,0,71,9,"60014","CRYSTAL LAKE","IL",63,300619.5,617557.0625,-88.32582885977047,42.22916899134591
34,0,0,74,115,"60180","UNION","IL",0,284013,616834.5,-88.5269755788494,42.222500607252464
35,0,0,76,8,"60013","CARY","IL",7,308162.6562999999,616889.6875,-88.23446233052688,42.22311829346945
36,0,0,80,37,"60061","VERNON HILLS","IL",60,330402.4375,617466.4375,-87.96505396683187,42.22776213753549
37,0,0,81,6,"60010","BARRINGTON","IL",162,313994.7812999999,609184.1875,-88.16400560135341,42.15366338907299
38,0,0,82,31,"60047","LAKE ZURICH","IL",48,323062.7812999999,614734.0625,-88.05406996761172,42.20341399004127
39,0,0,83,90,"60142","HUNTLEY","IL",3,290968.6562999999,611794.0625,-88.4426472825324,42.17723304088832
40,0,0,87,23,"60037","FORT SHERIDAN","IL",0,343110.0625,616166,-87.8112221304919,42.215457362484344
41,0,0,89,24,"60040","HIGHWOOD","IL",0,342869.9062999999,614879.25,-87.81422543421013,42.20388648160477
42,0,0,90,22,"60035","HIGHLAND PARK","IL",201,343169.7187999999,612391,-87.81077973351456,42.181469248131336
43,0,0,91,42,"60069","LINCOLNSHIRE","IL",11,334057.6875,613234.3125,-87.92102506242715,42.189510763161415
44,0,0,92,66,"60102","ALGONQUIN","IL",31,301142.125,611504.25,-88.31950979004156,42.17467510123376
45,0,0,95,57,"60089","BUFFALO GROVE","IL",75,330089.4062999999,610520.6875,-87.96920494066579,42.16524306226254
46,0,0,96,14,"60021","FOX RIVER GROVE","IL",0,309306.6875,613689.5625,-88.2206563736362,42.19429496599991
47,0,0,97,10,"60015","DEERFIELD","IL",70,337830.4062999999,611347.4375,-87.87547578639055,42.17235052103449
48,0,0,103,92,"60145","KINGSTON","IL",0,262291.3125,604801.875,-88.78929476742783,42.113428136291546
49,0,0,104,47,"60074","PALATINE","IL",1,324661.7812999999,608391.125,-88.0349767133869,42.146260436949895
50,0,0,105,84,"60135","GENOA","IL",1,271714.5312999999,604712.1875,-88.67535015911344,42.11301686625002
51,0,0,106,93,"60146","KIRKLAND","IL",1,254082.95309999958,603862.5625,-88.8884697383072,42.10453449363284
52,0,0,107,58,"60090","WHEELING","IL",24,333784.5937999999,606582.0625,-87.9247165929872,42.12963365966945
53,0,0,108,2,"60004","ARLINGTON HEIGHTS","IL",86,329296.6875,604570.9375,-87.97909654857983,42.11170810591333
54,0,0,109,88,"60140","HAMPSHIRE","IL",2,284976.8437999999,600418,-88.51487829882286,42.0747217949326
55,0,0,110,75,"60118","DUNDEE","IL",19,302806.4375,603867.75,-88.29940275360005,42.10591897920843
56,0,0,111,38,"60062","NORTHBROOK","IL",172,340308.7812999999,606266.375,-87.84583240776466,42.12648346951523
57,0,0,112,15,"60022","GLENCOE","IL",31,346815.5312999999,607407.875,-87.76705065017069,42.13639867423842
58,0,0,114,72,"60110","CARPENTERSVILLE","IL",0,305284.75,605589.25,-88.2694237379638,42.12140505392022
59,0,0,115,85,"60136","GILBERTS","IL",0,295644.8125,604140.8125,-88.3859907428094,42.10837032871172
60,0,0,116,40,"60067","PALATINE","IL",66,322795.875,604519,-88.05770123052649,42.11145624060472
